paper,date,page,chunk_idx,similarity,matched_query,event_type,description,location,participants,date_mentioned,source_text
denver-star,1916-08-05,1,6,0.503,appeal to colored people to come together and march forward for justice,mass_meeting,"The text calls for a National Convention to address racial injustices including denial of civil rights, political disenfranchisement, inequality before law, industrial discrimination, and lynching.",National (implied),Colored Americans,,"After fifty years of so-called freedom in this country, what is the prevailing condition of our Colored-American population? Briefly stated it is this: Our civil rights have been rendered almost futile; we are shamefully curtailed politically; we are denied equality before the law; we are not allowed equal industrial opportunities: our property and our very lives are not at all secure; and ""the black horrors of lynching"" innocent Colored Americans continue unabated. While our Federal. Government"
broad-ax,1912-07-13,1,3,0.503,colored men representing political league called upon presidential candidate for interview,mass_meeting,"Members of the National Independent Political League held a meeting where they split into factions, with bolters opposing both Taft and Roosevelt as presidential candidates due to the Brownsville discharges.",Illinois,"W. Monroe Trotter, members of the National Independent Political League, Waldron",1912-07-13,"""Upon the solid rock of the rights of the individual as granted by the constitution, the Republican party builds its structure of optimism. The Democratic party, on the other hand, in the opening sentence of its address to the electorate, betrays its recessional quality by denying the right of Congress, a right again and again confirmed by the Supreme Court, to establish protective duties for the benefit of American industries.

""It declares as false the vital issue of the constitutional liberti"
iowa-bystander,1919-12-26,1,7,0.503,colored citizens up in arms and threaten to make trouble against discriminatory practices,mass_meeting,"A mass meeting organized by the NAACP to rouse public sentiment against wrongs suffered by American Negroes, featuring speakers discussing conditions in the American South.","Cooper Union, New York City","Dudley Field Malone, Dr. W. E. Du Bois, John Haynes Holmes, M. H. Gassaway, and the National Association for the Advancement of Colored People","January 5, 1920","ce to Its City

Son Agrees to go
. Trustees Board

try. I have a peculiar interest in How-
ard university because of having seen
the effects of their work close at hand.""

The former president's son has something of the same ""peculiar interest in Howard university,"" and is planning to co-operate in every way possible with the great reconstruction and reorganization program of the university, which has assumed a new leadership and has attained, as has been aptly said, a new conception of her miss"
colorado-statesman,1911-08-19,1,0,0.503,first national conference on lynching examining causes and demanding federal action,mass_meeting,The Second Annual National Negro Educational Congress adopted resolutions condemning mob violence and lynchings in Pennsylvania and Oklahoma.,Colorado (Denver implied as 'this city'),"Delegates from every state in the Union, including Wm. McDonald of Fort Worth, Texas","1911-08-12 to 1911-08-15 (Saturday to Tuesday, August 12-16, 1911)","THE COLORADO STATESMAN

THE JOURNAL OF THE WEST.

LABOR SHALL BE FREE

RAGE COUNTRY PARTY

NEGRO CONGRESS

The Second Annual National Negro Educational Congress Closed Last Tuesday With Much Work Accomplished Resolutions Adopted Condemning Mob Violence.

VOL. XVII.

NEGRO CO

The Second Annual National
Closed Last Tuesday With
Resolutions Adopted Co

The National Negro Educational Congress, which convened in this city last Saturday, closed its session last Tuesday. The Congress was represented b"
houston-informer,1924-04-12,1,6,0.503,delegates to annual conference demands equal rights and attacks lynching,delegation,Colored men appeared before the Mississippi legislature with a prepared plea for justice regarding racial equality and state accommodations.,Mississippi,Dr. S. D. Brown and colored representatives and leaders,January 24,"Chicago, Ill.—According to at the Chicago Tribune, emissaries cow are now in this city estate which propaganda will be sent cultured to awaken in them sym. The names of a number of quest workers are used, as are the man be aiding and abetting their pro. The 'Tribune story is a part against pacifism and communis Chicago are aware of the Tribu the rich. They are also positive Negro. In a recent editorial the Tribu wrote that ""If you are At one or another time the san 'You're a Red' at the Negro. I"
new-york-age,1912-01-11,1,3,0.503,a committee of prominent colored citizens called upon the governor to present a petition,delegation,A delegation of white and colored clergy presented a petition to Mayor Blankenburg addressing employment discrimination against African Americans and requesting fair treatment and justice.,Philadelphia,"White and colored pastors/clergy from various denominations, including Rev. Dr. Edwin Heyl Delk, Rev. Dr. Frank P. Parkin, Rev. Dr. John W. Lee, Rev. Dr. P. A. Wallace, and others",1912-01-11,"In a petition which the delegation in a petition which the delegation it was set forth that the ultimate object in view was to make it possible for Negroes to obtain employment among lines other than those of beggary or illicitly to which they almost wholly restricted throughout the North.

The petition further set forth that growing discrimination against Negroes is a most portentous phase of the entire race situation in this country. In effect, the petition asked for summary justice being info"
indianapolis-freeman,1907-07-20,1,2,0.503,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,delegation,A delegation of Kentucky ministers and business men of color called on the Railroad Commissioners of that State to request enforcement of equal accommodations for races on trains.,Kentucky,Kentucky ministers and business men of color,,It is one of the ironies of fate that the opinion handed down by the Interstate Commerce Commission is along the same lines as the provisions of the much-mooted Foraker-Warner amendment to the rate bill concerning which there was such a wide diversity of sentiment among the colored people of the North and South at the time it was up in Congress for action. Senator Foraker tried his level best to secure the incorporation of an amendment that would prevent separation based upon anything save diffe
st-louis-argus,1919-12-19,1,1,0.503,delegates to annual conference demands equal rights and attacks lynching,delegation,"A delegation from St. Louis attended a National Republican Committee conference in Washington to organize coordinated action against disfranchisement, lynching, and discriminatory legislation.","Washington, D.C. (conference); St. Louis (delegation origin)",Homer G. Phillips and J. M. Weil representing St. Louis; representatives from leading cities across America,"Delegation returned to St. Louis on Monday of the week of December 19, 1919","Plans for future work of the organization were outlined by the president. A. W. Lloyd.

Among the speakers of the evening were Dr. C. M. Powell, Rev. E.-C. Cole, Jas, T. Harris and others. Each speaker emphasized the importance of the Negroes getting together in St. Louis as they are in other cities. They praised the plans of organizing the Liberty League, and heartily endorsed its work.

Reports were received from H. G. Phillips and J. M. Well, whom the League sent to Washington to the National"
dallas-express,1919-10-18,1,2,0.503,appeal to colored people to come together and march forward for justice,strike,"Steel and cement plant workers conducted a strike with picket lines of approximately 3,000 workers in the Indiana Harbor/Chicago district industrial area.","Indiana Harbor, Chicago district (Inland Steel Company, Mark Kirkwater Company, Universal Portland Cement Company)","Strike workers and union pickets (approximately 3,000)",1919-10-18,"Indiana Harbors' industries had been closed since the strike was called until today, when the Inland Steel Company, one of the larger independent steel plants in the Chicago district, the Mark Kirkwater Company and the Universal Portland Cement Company plant reused operations.

Sheriff Lew Barnes assigned 300 new deputies to duty today, but until to night there was only muttering to indicate trouble.

The strikers, however, increased their force of six pickets to about $3,000, who were on duty w"
cleveland-gazette,1927-09-03,1,6,0.503,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The Fourth Pan-African Congress, an international biennial conference of African descendants from multiple countries and continents, convened and published a manifesto addressing colonialism, imperialism, race prejudice, and economic exploitation.",Not specified in excerpt,"Delegates from 20 American states, West Indies Islands, Germany, Japan, India, South America, Sierra Leone, Gold Coast, Nigeria, and Liberia",1927-09-03 (ending Wednesday night of that week),"""The Pan-African Congress, a biennial conference of all the descendants of Africa throughout the world, was conceived by Dr. W. E. Du Bols and was first organized in Paris in 1919. H. recognizes that worldly dominated by group-conscious white men there is a 'color problem for our people of the world, and especially for the descendants of Africa.

""Perhaps nobody dreams that the problem of the 'Negro' or of the Chinman can ever be solved simply by the co-operation of 'Negroes' with 'Negroes' or o"
colorado-statesman,1921-11-05,1,4,0.503,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,Mass meetings planned as part of an Equal Rights movement to send delegates to a National Race Convention at the Second World Peace Conference.,Not specified,African American delegates and race organizations,Within one month of November 1921,"Mass meetings which are to be a part of this Equal Rights movement for a National Race Convention at the doors of this Second World Peace Conference, from which our delegates cannot be kept this time by the denial of passports, can be arranged on brief notice because the race is interested in this Arms Conference. A quick, strong, earnest Get-Together will greatly help the race. A month will then remain for arranging to send delegates to this World Democracy Congress called and conducted by the "
washington-tribune,1921-07-30,1,6,0.503,colored men representing political league called upon presidential candidate for interview,delegation,A delegation of colored men visited President Harding to invite him to address an N.A.A.C.P. meeting and express grievances about colored people's situation under his administration.,"Washington, D.C.","Delegation of colored men including A. H. Grimke as spokesman, President Harding","1921 (recent interview, meeting planned for October)","Gourdin's record since he has been at Harvard is as follows:

One hundred-yard dash, 9 4-5 seconds; 220-yard dash, 22 1-5 seconds; 440-yard run, 52 1-5 seconds; broad jump, 25 feet 3 inches; high jump, 5 feet 9 inches; running hop, step and jump, 45 feet 3 inches; javelin throw, 140 feet; discuss throw, 110 feet.

---

Circulation
Books Open
To All

PRICE 5 CENTS

POLICY

MAKES FRANK STATEMENT TO DELEGATION

Informs Them That No Appointment Will Be Made In the South

LINES UP WITH LILY-WHITES

S"
broad-ax,1910-06-25,1,5,0.503,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The Third Annual Meeting of the National Political League convened to protest President Taft's favoring of Negro disfranchisement in Southern states and to address race persecution, segregation, and lynching.","Atlantic City, New Jersey",National Political League members from thirty states and their fellow countrymen,"August 4th and 5th, 1910","The indifference or lack of interest on the part of our people toward this institution is indeed a shame and a disgrace; and to us exceedingly discouraging. But we are sincere in the belief that a large and active Association, with some missionary work on the part of its members, will certainly give our institution publicity, and thereby ultimately create and stimulate a renewed interest among the people generally.

This institution needs you. It needs your assistance, your influence, your inter"
colorado-statesman,1913-11-08,1,4,0.502,a committee of prominent colored citizens called upon the governor to present a petition,mass_meeting,A mass meeting organized by the National Association to protest against racial segregation policies practiced by the Wilson administration and other cities.,Baltimore,National Association members and colored people; speakers addressed crowds both inside and outside the meeting venue,,"The speaker entered upon a long attack of the policy of segregation as practiced in Baltimore and other cities and stated that if allowed on account of race there was no telling where it might lead. It might obtain on account of many things, even including religion. He said the National Association was not primarily concerned with the extent to which the Wilson administration had practiced segregation. It is against the whole principle it takes its stand. Let a precedent be established and who s"
broad-ax,1909-10-16,1,3,0.502,appeal to colored people to come together and march forward for justice,mass_meeting,"A mass meeting or assembly addressing the serious crisis facing African Americans, discussing grievances including Supreme Court decisions, disfranchisement, Jim Crow laws, and President Taft's policies, and making demands of Congress regarding Southern representation and interstate commerce.",,American Negroes/Colored Americans,1909-10-16,"death more than four thousand of our race, many of whom have been proven innocent of any crime.

We call upon congress to reduce Southern representation as required by Sec. 2 of the 14th amendment and enforce the 15th amendment in those states which by revised constitution have so violently denied the ballot be cause of color. We also demand that congress end national sanction to jim crow cars now given by the interstate commerce commission by forbidding ex

Whereas, present conditions represent"
dallas-express,1923-07-28,1,0,0.502,a committee of prominent colored citizens called upon the governor to present a petition,petition,World War Veterans assigned to Tuskegee hospital petitioned Director Hines demanding Negro doctors instead of white southern officials.,Tuskegee,World War Veterans at Tuskegee hospital,,"BLACK HEROES AT VETS HOSPITAL PETITION HINES FOR NEGRO DOCTORS

ALWAYS PROGRESSIVE DISTINCTIVE IN SERVICE

HEROES AT VETS Unchanged. All Parties committal on Policy in level of Vets Hospital. 90

BLACK HEROE

Tuskegee Situation Unchang
Silent. Hines Non-committa
Regards to Personnel of Ve
Patients Registered.

(By A. N. P.) government

Tuskegee Situation Unchanged. All Parties Silent. Hines Non-committal on Policy in Regards to Personnel of Vets Hospital. 90 Patients Registered.

government. res"
colorado-statesman,1921-05-14,1,7,0.502,speakers denounced the lynching and called for federal legislation to stop mob rule,delegation,Prominent colored people from Pennsylvania lobbied state legislators in Harrisburg to support the Asbury Equal Rights bill designed to secure equal privileges for all races in public places.,"Harrisburg, Pennsylvania","Prominent colored people from across Pennsylvania, Representative J. C. Asbury (colored)",Past month (article dated 1921-05-14),"KU KLUX WARN WHITE
EDITOR TO HALT ATTACK

Columbus, Ga., May 6.—It has become dangerous in Georgia for a white editor to attack the Ku Klux Klan. This became known when Thomas W. Loyless, editor of the Columbus Enquirer-Sun, wrote an article in the New York Herald denouncing the order as an unnecessary institution. The following day he received a special delivery letter from Atlanta which stated: ""Leave New York newspaper troubles with K. K. K. alone. Dead men tell no tales."" The letter was turn"
dallas-express,1927-12-24,1,5,0.502,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,delegation,"NAACP attorneys filed a legal suit against the City of Gry to block construction of a segregated 'Jim Crow' school building, resulting in a court injunction and agreement that the city would pay costs and not erect the building.",Gry,National Association for the Advancement of Colored People (NAACP) attorneys and City of Gry officials,"December 18, 1927","N. C. JUDGE STOP LYNCHERS WITH GUN

DOUGLAS PROVIDES JIM
CROW SCHOOL FOR THREE
MERGEO CHILDREN

Douglas, Aile, *OUNC*—in a recent appeal from the section of the Douglas school board in refusing a Negro boy admission to the city high school, Arizona's Jim Crow school law was sustained by the State Supreme Court which in upholding the board's decision to add a ""sexual abuse"" clause to this decision is not considered as racial segregation, but as a protection against disaffection, discord and turno"
tulsa-star,1918-10-19,1,5,0.502,colored citizens object to history textbooks and railroad discrimination,petition,Application for habeas corpus filed to seek release of forty-one Negro soldiers serving sentences at Fort Leavenworth for participation in the Houston riot.,"Topeka, Kansas (filed in United States District Court); Fort Leavenworth (location of imprisoned soldiers)","Three attorneys (Elisha Scott, T. W. Bell, D. V. Barbear) retained by the Kansas City Defense Society, a Negro organization","October 10, 1918","Shreveport, L., Oct. 10.—The larest known subscription to the Liberty loan in Caddo parish to date—$100,000—was made by a Negro, David H. Haynes of Vivian, who became wealthy with the discovery of oil on his land.

Newark N. J.

This city contains about 495,000 inhabitants, about sixty thousand are Colored, and it was left for Mrs. H. Thompson of Macon, Ga., sister of Mrs. J. B. Davis, Atlanta, to go there and secure the most responsible position ever held in by a Colored woman in Newark. The mo"
indianapolis-freeman,1907-11-02,1,2,0.502,a committee of prominent colored citizens called upon the governor to present a petition,delegation,A delegation of colored citizens from Oklahoma and Indian Territory visited President Roosevelt at the White House to formally protest against the unconstitutional Oklahoma constitution and its provisions disenfranchising colored voters.,"White House, Washington D.C.","A. G. W. Sango (chairman), W. H. Tine, James A. Roper, S. A. Bell, Archie V. Jones, William Bradford, J. W. Simmons, and others from Oklahoma and Indian Territory, introduced by Register W. T. Vernon","Saturday (preceding November 2, 1907)","To impress upon President Roosevelt the indignation of the substantial colored citizens of Oklahoma and Indian Territory over the unconstitutional constitution about to be submitted to him, a strong delegation of colored men visited the White House last Saturday and laid their protest before the President. They did not come on their own hook, be it said. They were elected by the people of the two territories and they came fully commissioned to speak for their race. The party was made up of Messr"
baltimore-afro-american,1915-03-20,1,4,0.502,colored men representing political league called upon presidential candidate for interview,demonstration,"Public criticism and protest against the film 'The Birth of a Nation' for its distorted portrayal of Southern Negroes during Reconstruction, with prominent figures voicing sharp disapproval.",New York,"Rabbi Wise, Jane Addams, Cleveland G. Allen (newspaper correspondent)","March 18, 1915","The preliminary bulletin states that in 1910, 4,091 farm homes were owned by colored people in Maryland, while 7977 were owned in urban sections an increase of 19 per cent. According to the figures, one colored person in 91 owns his own home in Baltimore In Atlanta one in 29, in Birmingham one in 22, in New Orleans one in 37, in Washington one in 46, in Louisville one in 57 and in Jacksonville one in 22 are the figures given Negro home owners in comparison to the general population. Norfolk, Va."
omaha-monitor,1919-03-29,1,4,0.502,a committee of prominent colored citizens called upon the governor to present a petition,petition,Leaders of the Egyptian nationalist movement addressed a letter to M. Clemenceau at the peace conference requesting that Egypt's claim to national independence be adjudged in accordance with President Wilson's doctrine of the rights of peoples.,Paris,"Leaders of the Egyptian nationalist movement, described as 'the Egyptian Association of Paris'","March 23, 1919","The French are pleased with Premier Lloyd-George's decision that England will not take charge of either Syria or Armenia. Nevertheless, it brings up a vital problem to be settled by the ""big three,"" that is apportionment of the Levant. It is felt that France, England and Italy must each be responsible for certain portions and be in a position to quell any possible upheavals.

The Temps says editorially that the Arabs are inclined to take the principles of popular self-determination too literally"
new-york-age,1923-05-19,1,2,0.502,a committee of prominent colored citizens called upon the governor to present a petition,delegation,A delegation of Tuskegee bankers traveled to Washington to meet with President Harding to protest white staff being placed at the Veterans' Bureau Hospital despite his declaration that the institution should be staffed by colored personnel.,"Washington, D.C.",Delegation of Tuskegee bankers,1923-05-19,"U. S. Civil Service Commission Announces That Entire Staff Will Be Composed of Colored Men and Women, and Announces Examinations to Form Eligible List.

WHITE ALABAMANS ARE PROTESTING THE PROPOSED ELIMINATION OF WHITE STAFF

Delegation of Tuskegee Bankers Go to Washington to See President, Who Has Declared Positively His Intention That Hospital Shall Be Operated By Race.

(Special to The New York Ace).

Washington, D. C.—The United States Veterans' Bureau Hospital at Tuskegee Institute, Alabama,"
new-york-age,1917-03-29,1,1,0.502,appeal to colored people to come together and march forward for justice,demonstration,"An editorial calling for African Americans to make collective demands for civil rights and political equality at a crucial time during World War I, using pulpits, platforms, and newspapers as vehicles for this protest.",,"African Americans, ten million Negroes",,"""Four hundred thousand railroad employees secured eight hours' work with ten hours' pay the other day because they threatened to walk out on a day when America needed every single car and every railroad man in the country. At a normal time the American people had been sold so readily to their just demands.

""For centuries the common people of Russia have been depressed and crushed by philotocracy and absolutism. In vain they have attempted to secure their liberties in times of peace, but a few d"
colorado-statesman,1922-08-05,1,3,0.502,delegates to annual conference demands equal rights and attacks lynching,other,"J. Jolibois, editor of Le Courrier Haitien, was arrested and jailed in June for protesting against the United States forcing a $40,000,000 loan on the Haitian government.","Port-au-Prince, Haiti","J. Jolibois, editor of Le Courrier Haitien; James Weldon Johnson, secretary of the NAACP",June 1922,"St. Louis, Mo., July 27.—L. C. Dyer, representative from the Twelfth Missouri district, is a candidate for renomination and election. In a statement to his headquarters today he said:

""I must depend on my friends to make an active campaign for my renomination. All my time is taken up looking after the interest of my constituents in Congress.""

State Hist & Nat
Society
State House

LIABLE PEOPLE
RADC
THE JOURNAL
DENVER, C

ABLE PEOPLE'S PA
ADO
E JOURNAL
DENVER, COLORADO, SA

Haitian Editor Jaile"
cleveland-gazette,1922-11-04,1,6,0.502,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,petition,"Citizens of Springfield, Ohio organized opposition to a 'Jim Crow' school in the Fulton school district, with Charles L. Johnson leading efforts to fight the School Board's segregation action through petition and community mobilization.","Springfield, Ohio","Charles L. Johnson (leader), Mrs. Forest Speaks, Mrs. Jane Lee, Mrs. John Collins, and other Springfield citizens",,"Annual roll call, at Mt. Zion Cong
church, Sunday, and every member
is expected to respond by letter
or in person. New members will
be received and infants baptized
""the subject of the sermon; ""What
and Where is God? Collections for
the anniversary"" gamounted to
$256.46. Dinner will be served.
Tuesday, election day, by Circle E.
A. young ladies' committee, headed
by Mrs. Pearl Gardner, will give
a reception and ""tea"" at the
community House from 3 to 6 p. m.
Sunday. Special musical program.
No ad"
cleveland-gazette,1926-08-07,1,7,0.502,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,other,"The Cleveland Gazette's public protest campaign against President Coolidge's segregation policies, maintained through standing articles on the newspaper's fourth page calling upon the race press and national organizations to join the fight.",Nation's capital / National,"The Cleveland Gazette, race press, national organizations, Afro-Americans",1926-08-07 (publication date); protest ongoing for many months prior,"COOLIDGE
SEGREGATION!

We are wondering if some people can NOW see why The Gazette has for many months kept standing on its fourth page its ""SEGREGATION AN OUTRAGE"" articles which were specially written for this paper by the most fearless, most manly and loyal Afro-American at the nation's capital. This paper took the lead in that matter and for many months was alone in its public protest to President Coolidge against the contemptable, insulting practice. Month after month it publically called u"
washington-tribune,1923-11-10,1,4,0.502,a committee of prominent colored citizens called upon the governor to present a petition,delegation,A delegation representing the National Race Congress called on the President to advocate for a full Negro personnel at the Tuskegee Hospital for Negro veterans.,"Washington, D.C.",National Race Congress delegation led by Dr. W. H. Jernagin,"Thursday (November 8, 1923)","Richard Jackson, alias ""Red"" Jackson is to be returned to Virginia for an alleged assault on a white woman by the name of Miss Hawkins in Arlington County.

Jackson was arrested here in May 1922, and requisition from the Governor of Virginia was honored by Chief Justice McCoy, but the Atty. Royal A Hughes and Armond W. Scott as counsel for the accused sued out a writ of habeas corpus, claiming that the chief justice had erred in finding that Jackson was in the demanding state at the time of the "
omaha-monitor,1919-06-05,1,3,0.502,a committee of prominent colored citizens called upon the governor to present a petition,delegation,"The Harriet Tubman Club sent a telegram to the Republican Party's women's committee respectfully requesting support for civil rights legislation, anti-discrimination measures, and anti-lynching laws.",New York,Mrs. Marie Jackson Stewart (president) and Mrs. Eslanda Cardozo Goods (secretary) of the Harriet Tubman Club,"June 4, 1919","(By Associated Negro Press.)

Chicago, June 4.—Bomb workers are again at work in this city and, for the second time in two weeks, have bombed the beautiful residence of Mrs. Gertrude Harrison, 4807 Grand boulevard, one of the exclusive sections of Chicago.

WOMEN COURTEOUSLY
MAKE JUST DEMAND

Respectfully Request That White Women of the Republican Party Take a Bold Stand for the Rights of Colored Women.

New York, June 4.—The following telegram was recently sent to Mrs. Medill McCormick, nationa"
new-york-age,1906-10-04,1,1,0.502,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,Afro-American voters of the Ninth Assembly District in New York City held a convention where they adopted resolutions protesting against the Atlanta massacre and mob violence against colored citizens.,New York City (Ninth Assembly District),"Afro-American voters of the Ninth Assembly District; George M. Keith (leader), George L. Lee (president), and other elected officers",1906-10-04,"It was now that Mr. Lighthouse introduced the resolutions which tie up Keith's hands good and tight. Then Mr. Hooper appointed a nominating committee of eleven, who reported as follows: For leader, George M. Keith; president, George L. Lee; first vice-president, Darie R. Lighthouse; second vice-president, James D. Turner; financial secretary, W. H. Summerson; treasurer, George E. Gangway; and sergeant-at-arms, William Drayton. The report was adopted by acclamation.

During the meeting the follow"
colorado-statesman,1923-10-27,1,6,0.502,colored men representing political league called upon presidential candidate for interview,mass_meeting,400 black ministers from across Kentucky gathered in support of Bishop A. J. Carey to protest and condemn a Democratic gubernatorial candidate's derogatory remarks toward black women voters.,Kentucky,"400 black ministers, Bishop A. J. Carey",,"The term ""migger wenches"" being publicly applied to the 75,000 registered women voters, by the Democratic candidate for governor, was the signal for attack, and tonight 400 black ministers of the gospel from cities and hamlets throughout the state are entrenched solidly and enthusiastically behind Bishop Carey in this, as he terms it, the zero hour.

Honor of Colored Women Upheld

Honor of Colored Women Uphold

The bishop was eloquent in his appeal to the four hundred ministers of Kentucky to ac"
muskogee-cimeter,1907-11-01,1,2,0.502,a committee of prominent colored citizens called upon the governor to present a petition,delegation,A delegation of African American men traveled to Washington to meet with President Roosevelt to present a grievance or cause.,"Washington, D.C.","L. A. Bell, J. A. Roper, A. V. Jones, Willie Bradford, A. G W. Sango, J. W. Simmons, W. H. Twine, J. C. Johnson, Morris Sango, Rev. Henry Reed, and Attorney Harrison",1907,"After visiting several other men of prominence the delegation secured an interview with President Roosevelt and briefly stated their cause. The same consideration was shown us as was accorded by the President to other delegations. The impression was received by the delegation that the chief executive was a man who believes in the doctrine of a square deal to every man no matter among what class of citizens his lot chances to fall. Irre-

spective of tangible results, we yet believe that the prot"
baltimore-afro-american,1919-10-10,1,6,0.502,delegates to annual conference demands equal rights and attacks lynching,other,"A committee of colored Catholics organized to combat racial discrimination and segregation in the Catholic Church, with favorable responses received from multiple cities.","Atlantic City, Boston, Buffalo, Wilmington, Washington",Colored Catholics; committee of colored men in the church; Fathers of St. Joseph's Society for Colored Missions,1919-10-09,"ATLANTIC CITY HEATHEN?
Atlantic City, Oct. 9—According to a report of Roy, James N. Deaver 12,000 of the 15,000, colored population of this city are, centrally, unchurched."" The general organization of the Episcopal Conference for 12,5,000 to build a new and larger church for the parish of St. Augustine.

During the past week, it has leaked out that previous to the meeting of the Catholic Bishops, held in Washington recently, the mission of the Catholic Mission work among the colored people that"
colorado-statesman,1917-09-01,1,5,0.502,colored citizens up in arms and threaten to make trouble against discriminatory practices,parade,"A silent protest parade held in New York following the East St. Louis riots, participated in by eight thousand African Americans to express grievance against racial persecution and injustice.",New York City,Eight thousand Negroes (African Americans),"Following the East St. Louis riots (referenced in editorial from July 31st, 1917)","NO ROOM FOR RACE PREJUDICE
SAYS JEWISH DAILY NEWS.

A remarkable editorial appeared in the ""Jewish Daily News,"" published in New York City, on Tuesday, July 31st. The article, which was captioned, ""No Room for Race Prejudice,"" was occasioned by the great silent protest parade which was held in New York following the East St. Louis riots and was participated in by eight thousand Negroes. It was a masterful plea for justice, and says in part:

""Pitiful wrongs and grave acts of injustice have been "
cleveland-gazette,1914-01-10,1,5,0.502,active and organized protests of colored women backed by numerous organizations,delegation,"A campaign of newspaper criticism and public protest against Democratic Party segregation policies for colored employees in Washington, involving both African American and white publications and leaders.",Washington,"Race journals (New York Age, Boston Guardian, Chicago Defender, etc.), white newspapers (New York Evening Post, Springfield Republican, etc.), Senator Clapp, Moorfield Storey, Oswald Garrison Villard, J. E. Spingarn, J. C. Napier, Bishop Walters, and President Wilson",Recent (circa 1914),"Noted White Men Join Race Journals
In Fight Against Wrong

In Fight Against Wrongs

Washington—The recent newspaper reports that the Democrats had relaxed in their policy of segregating colored employees at Washington shows that the widespread criticism of the effort has had the desired effect. Not only did race journals join in the campaign against segregation, but representative journals like the New York Evening Post, the Springfield Republican, the Boston Advertiser, the Chicago Record-Heral"
broad-ax,1921-08-20,1,3,0.502,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"A National Equal Rights League convention calling for legislation to protect property rights, abolish peonage, end labor discrimination, and oppose Jim Crow laws and disfranchisement.","Chicago, Illinois","Delegates from various sections of the country, representatives of the National Equal Rights League, Ida B. Wells Barnet",August 1921,"4. To plan for legislation which will protect us in the enjoyment of property lawfully acquired and to encourage land ownership.
5. To abolish peonage and all forms of labor contracts which carry prison penalties.
6. To co-operate with all forces tending to reduce illiteracy, promote the moral welfare and better conduct on the part of our people from the South some of whom are turning their new found liberty into license.
7. To abolish color line discrimination in organizations pledged to collec"
amsterdam-news,1925-12-16,1,1,0.502,appeal to colored people to come together and march forward for justice,mass_meeting,"A mass meeting held by the NAACP at Salem M.E. Church to raise funds for Dr. Ossian H. Sweet's defense and address voting rights issues, featuring speeches by Clarence Darrow and other leaders.","Salem M.E. Church, Seventh avenue and 129th street, New York","Three thousand people, Clarence Darrow, James Weldon Johnson, Walter White, Robert W. Bagnall, J. Rosamond Johnson, Taylor Gordon","Sunday afternoon, December 14, 1925","That Negroes have foolishly thrown away their only badge of equality, which is the ballot, in the North, and that they are too blooming pious, were two criticisms made by Clarence Darrow, noted criminal lawyer of America, before three thousand people at a mass meeting in Salem M. E. Church, Seventh avenue and 129th street, Sunday afternoon.

The meeting was held under the auspices of the N.A. A.C.P. and was a part of the campaign to raise a $50,000 defense fund to fight the case of Dr. Ossian H."
montana-plaindealer,1906-08-24,1,3,0.501,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The Second Annual Meeting of the Niagara Movement held at Harper's Ferry, West Virginia, where members addressed the nation regarding racial discrimination and grievances including denial of suffrage, discrimination in public travel, and unequal law enforcement.","Harper's Ferry, West Virginia","Members of the Niagara Movement, Rev. G. Frazier Miller","August 19, 1906","The members of the City Council have certainly earned the r salaries during the hot season this year, as they have met every Monday evening this summer, not to mention the committee meetings, etc.

After the Central Committee Meeting Saturday candidates are expected to come out of the bush.

In Montana at least, campaigns of education do not seem to meet with any degree of popularity, judging from the short session of their schools of politics.

Helena, Montana, Friday, August 24, 1906.

Alleged"
dallas-express,1921-06-04,1,7,0.501,a committee of prominent colored citizens called upon the governor to present a petition,delegation,"Colored women called on Governor McCray, likely to present grievances or demands.",Texas (Governor McCray's office),Colored women,1921-06-04,"Eulogizes the Flag.

(By A. N. P.)

PRICE TEN CENTS.

Meeting Addressed by Leaders Who Tell of Need of Harmony Between White and Colored People.

In times past the whites have not been in large numbers in a large way, two great servants of our freedom, an law and a result which has been the freedom of the darker races in the United States. His life, we are far removed from his life. We are brought up in a culture of progress in education and civilization and church and state, schools and college"
houston-informer,1923-09-15,1,6,0.501,protest to the president against riots and lynchings seeking public word of hope,rally,"The NAACP held its 14th Annual Conference in Kansas City calling upon the nation to end mob violence, urge political emancipation of colored people, and support the Dyer Anti-Lynching Bill.",Kansas City,National Association for the Advancement of Colored People (NAACP),,"BOOZIER, IN SAN ANTONIO JAIL,
SOLICITS LENIENCY OF COURT;
LAST CHAPTER IN BITTER TILT

BOOZIER, IN SAN ANTONIO JAIL,
SOLICITS LENIENCY OF COURT;
LAST CHAPTER IN BITTER TILT

Special to The Informer.
San Antonio, Texas, Sept. 10,
Houston fraternal who created
clas during 1921, sought to purge
the Seventy-third District Court
the full particulars of the cas
court document;
No. B-26251

---

vey, with the approval of United
and the Department of Justice,
a appeal of his case to the United
was sente"
